2022-11-20 19:51:13,606 [Worker-65: Retrieving catalog resource] INFO  o.a.h.c.h.i.c.HttpRequestRetryExec - Recoverable I/O exception (org.apache.hc.core5.http.NoHttpResponseException) caught when processing request to {s}->https://marketplace.eclipse.org:443
2022-11-20 19:51:13,612 [Worker-81: Retrieving catalog resource] INFO  o.a.h.c.h.i.c.HttpRequestRetryExec - Recoverable I/O exception (org.apache.hc.core5.http.NoHttpResponseException) caught when processing request to {s}->https://marketplace.eclipse.org:443
2022-11-20 19:51:13,628 [Worker-62: Retrieving catalog resource] INFO  o.a.h.c.h.i.c.HttpRequestRetryExec - Recoverable I/O exception (org.apache.hc.core5.http.NoHttpResponseException) caught when processing request to {s}->https://marketplace.eclipse.org:443
2022-11-20 20:28:54,042 [main] INFO  org.hibernate.cfg.Environment - Hibernate 3.5.6-Final
2022-11-20 20:28:54,044 [main] INFO  org.hibernate.cfg.Environment - hibernate.properties not found
2022-11-20 20:28:54,046 [main] INFO  org.hibernate.cfg.Environment - Bytecode provider name : javassist
2022-11-20 20:28:54,052 [main] INFO  org.hibernate.cfg.Environment - using JDK 1.4 java.sql.Timestamp handling
2022-11-20 20:41:10,348 [Worker-96: Creating project "HBDemo4"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hbd:HBDemo4:0.0.1-SNAPSHOT @ C:\Users\THANESH\BackEnd9\HBDemo4\pom.xml.
2022-11-20 20:41:10,746 [Worker-96: Creating project "HBDemo4"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HBDemo4/src/main/java
2022-11-20 20:41:10,747 [Worker-96: Creating project "HBDemo4"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HBDemo4/src/main/resources
2022-11-20 20:41:10,748 [Worker-96: Creating project "HBDemo4"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HBDemo4/src/test/java
2022-11-20 20:41:10,748 [Worker-96: Creating project "HBDemo4"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HBDemo4/src/test/resources
2022-11-20 20:41:11,070 [Worker-93: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-11-20 20:41:11,073 [Worker-93: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-11-20 20:41:11,076 [Worker-93: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
